Código Departamento;Código Municipio;Código Centro Poblado;Nombre Departamento;Nombre Municipio;Nombre Centro Poblado;Tipo
05;05001;05001000;ANTIOQUIA;MEDELLÍN;MEDELLÍN;CM
05;05001;05001001;ANTIOQUIA;MEDELLÍN;PALMITAS;C
05;05001;05001004;ANTIOQUIA;MEDELLÍN;SANTA ELENA;C
05;05001;05001005;ANTIOQUIA;MEDELLÍN;PEDREGAL ALTO;IPM
05;05001;05001009;ANTIOQUIA;MEDELLÍN;ALTAVISTA;C
05;05001;05001010;ANTIOQUIA;MEDELLÍN;AGUAS FRÍAS;CP
05;05001;05001012;ANTIOQUIA;MEDELLÍN;LA LOMA;CP
05;05001;05001013;ANTIOQUIA;MEDELLÍN;SAN JOSÉ DEL MANZANILLO;CP
05;05001;05001014;ANTIOQUIA;MEDELLÍN;BARRO BLANCO;CP
05;05001;05001015;ANTIOQUIA;MEDELLÍN;EL CERRO;CP
05;05001;05001017;ANTIOQUIA;MEDELLÍN;EL PATIO;CP
05;05001;05001018;ANTIOQUIA;MEDELLÍN;EL PLACER;CP
05;05001;05001019;ANTIOQUIA;MEDELLÍN;EL PLAN;CP
05;05001;05001020;ANTIOQUIA;MEDELLÍN;EL TESORO;CP
05;05001;05001022;ANTIOQUIA;MEDELLÍN;LA ALDEA;CP
05;05001;05001023;ANTIOQUIA;MEDELLÍN;LA CUCHILLA;CP
05;05001;05001024;ANTIOQUIA;MEDELLÍN;LA FLORIDA;CP
05;05001;05001025;ANTIOQUIA;MEDELLÍN;LA PALMA;CP
05;05001;05001027;ANTIOQUIA;MEDELLÍN;LAS PLAYAS;CP
05;05001;05001029;ANTIOQUIA;MEDELLÍN;PIEDRA GORDA;CP
05;05001;05001031;ANTIOQUIA;MEDELLÍN;POTRERITO;CP
05;05001;05001032;ANTIOQUIA;MEDELLÍN;TRAVESIAS;CP
05;05001;05001033;ANTIOQUIA;MEDELLÍN;URQUITA;CP
05;05001;05001034;ANTIOQUIA;MEDELLÍN;BARRIOS DE JESÚS;CP
05;05001;05001035;ANTIOQUIA;MEDELLÍN;BOQUERÓN;CP
05;05001;05001036;ANTIOQUIA;MEDELLÍN;CHACALTAYA;CP
05;05001;05001037;ANTIOQUIA;MEDELLÍN;EL CORAZÓN;CP
05;05001;05001038;ANTIOQUIA;MEDELLÍN;EL JARDÍN;CP
05;05001;05001039;ANTIOQUIA;MEDELLÍN;EL LLANO 1;CP
05;05001;05001040;ANTIOQUIA;MEDELLÍN;EL LLANO 2;CP
05;05001;05001041;ANTIOQUIA;MEDELLÍN;EL UVITO;CP
05;05001;05001042;ANTIOQUIA;MEDELLÍN;LA AVANZADA;CP
05;05001;05001043;ANTIOQUIA;MEDELLÍN;LA CRUZ;CP
05;05001;05001044;ANTIOQUIA;MEDELLÍN;LA ESPERANZA;CP
05;05001;05001045;ANTIOQUIA;MEDELLÍN;LA FRISOLA;CP
05;05001;05001046;ANTIOQUIA;MEDELLÍN;LA GABRIELA;CP
05;05001;05001047;ANTIOQUIA;MEDELLÍN;LA LADERA;CP
05;05001;05001048;ANTIOQUIA;MEDELLÍN;LA VERDE;CP
05;05001;05001049;ANTIOQUIA;MEDELLÍN;LA VOLCANA;CP
